entry_number,entry_type,author_year_key,chapters_1_7_citation_or_reference,coverage_mechanism,present_in_bibliography_or_legislation,bidirectional_status,notes
B01,Bibliography,"Baker, Paul (2006)",§2.6; §3.2,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B02,Bibliography,"Blei, David M.; Ng, Andrew Y.; Jordan, Michael I. (2003)",§3.7; §4.3,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B03,Bibliography,"Booth, Charles (1898–1899)",§1.1; §3.3,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B04,Bibliography,"Curtis, L. Perry, Jr. (2001)",§1.1; §2.5,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B05,Bibliography,"Gregory, Ian N.; Paterson, Laura L. (2020)",§2.6; §4.6,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B06,Bibliography,"Hamlin, Christopher (1998)",§2.2; §5.1–§5.3; §7.2,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B07,Bibliography,"Hardy, Anne (1993)",§2.2; §7.2,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B08,Bibliography,"Hill, Mark J.; Hengchen, Simon (2019)",§2.6; §3.14,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B09,Bibliography,"Holdsworth, W. A. (1891)",§1.1,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B10,Bibliography,"Lee, Daniel D.; Seung, H. Sebastian (1999)",§3.7; §4.3,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B11,Bibliography,London County Council (1894),§1.1; §5.2,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B12,Bibliography,"Mooney, Graham (2015)",§2.3; §5.1; §5.4–§5.5; §6.3; §7.2,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B13,Bibliography,"O’Reilly, Carole (2023)",§2.5; §6.5,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B14,Bibliography,"Porter, Catherine; Atkinson, Paul; Gregory, Ian N. (2018)",§2.6; §4.6,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
B15,Bibliography,"Scott, James C. (1998)",§2.4; §5.1; §5.4–§5.5; §7.2,Author–year citation appears in Chapters 1–7.,YES,PASS,Revalidated against the current citation-fixed dissertation; no previous row count was reused.
