category,item,identifier,reporting_year,publication_year,official_url,local_file,title,current_rights_or_reuse_statement,status,severity,reason,action_taken,verification_after_action,notes
Whitechapel MOH transcription,Whitechapel report for reporting year 1890,b19883651,1890,1891,https://wellcomelibrary.org/moh/report/b19883651,reproducibility/data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1891,b19883663,1891,1892,https://wellcomelibrary.org/moh/report/b19883663,reproducibility/data/raw/moh/Whitechapel_1891_b19883663_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1892,b19883675,1892,1893,https://wellcomelibrary.org/moh/report/b19883675,reproducibility/data/raw/moh/Whitechapel_1892_b19883675_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1893,b18018348,1893,1894,https://wellcomelibrary.org/moh/report/b18018348,reproducibility/data/raw/moh/Whitechapel_1893_b18018348_fulltext.txt,"The annual report on the sanitary condition of the Whitechapel District, (with vital and other statistics), for the year 1893 (consisting of 52 weeks) being the tenth annual report",London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1894,b1801835x,1894,1895,https://wellcomelibrary.org/moh/report/b1801835x,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,"The annual report on the sanitary condition of the Whitechapel District, (with vital and other statistics), for the year 1894 (consisting of 52 weeks) being the eleventh annual report",London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1895,b19883687,1895,1896,https://wellcomelibrary.org/moh/report/b19883687,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1896,b18038244,1896,1897,https://wellcomelibrary.org/moh/report/b18038244,reproducibility/data/raw/moh/Whitechapel_1896_b18038244_fulltext.txt,"The annual report on the sanitary condition of the Whitechapel District, (with vital and other statistics), for the year 1896 (consisting of 53 weeks) being the thirteenth annual report",London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1897,b19883699,1897,1898,https://wellcomelibrary.org/moh/report/b19883699,reproducibility/data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1898,b19883705,1898,1899,https://wellcomelibrary.org/moh/report/b19883705,reproducibility/data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Whitechapel MOH transcription,Whitechapel report for reporting year 1899,b19883717,1899,1900,https://wellcomelibrary.org/moh/report/b19883717,reproducibility/data/raw/moh/Whitechapel_1899_b19883717_fulltext.txt,[Report of the Medical Officer of Health for Whitechapel],London’s Pulse downloadable MOH report data are offered for reuse under CC BY 4.0; retain source attribution and distinguish transcription data from digitised object images.,VERIFIED,NONE,"Identifier, Whitechapel district, reporting year and publication year were resolved individually on the official report site.",Retained active raw TXT and added collection-level rights scope note.,PASS,Local TXT filename and year mapping agree with fresh metadata and official item page.
Source collection,London’s Pulse Medical Officer of Health report data,Wellcome Library MOH data,1890–1899,1891–1900,https://wellcomelibrary.org/moh/about-the-reports/using-the-report-data/,reproducibility/data/raw/moh/,Using the report data,Downloadable London MOH report data may be downloaded and reused under CC BY 4.0.,VERIFIED,NONE,Official Wellcome data-use page states the licence for downloadable report data.,Clarified dataset-level reuse in RIGHTS_AND_LICENSING.md.,PASS,Does not override item-specific conditions for images or unrelated Wellcome objects.
