entry_number,entry_type,author,year,title,publisher_or_journal,volume,issue,pages,doi,official_verification_url,in_text_citation_status,bibliography_status,verification_status,notes,dissertation_entry_as_extracted
B01,Bibliography,"Baker, Paul",2006,Using Corpora in Discourse Analysis,Continuum,,,208 pp.,,https://www.bloomsbury.com/uk/using-corpora-in-discourse-analysis-9780826477255/,CITED,PRESENT,VERIFIED,"Official Bloomsbury record confirms Paul Baker, first edition, 23 April 2006 and Continuum imprint.","Baker, P. (2006) Using Corpora in Discourse Analysis. London: Continuum."
B02,Bibliography,"Blei, David M.; Ng, Andrew Y.; Jordan, Michael I.",2003,Latent Dirichlet Allocation,Journal of Machine Learning Research,3,Jan,993–1022,,https://www.jmlr.org/papers/v3/blei03a.html,CITED,PRESENT,VERIFIED,"Official JMLR record confirms authors, title, volume, pages and 2003 date; no DOI is asserted.","Blei, D.M., Ng, A.Y. and Jordan, M.I. (2003) ‘Latent Dirichlet Allocation’, Journal of Machine Learning Research, 3, pp. 993–1022."
B03,Bibliography,"Booth, Charles",1898–1899,"Hand Coloured Map Descriptive of London Poverty 1898–1899, Sheet 63: Spitalfields, Whitechapel, Mile End New Town, St George’s in the East","LSE Digital Library; Charles Booth Archive, BOOTH/E/2/31",,,,,https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,CITED,PRESENT,VERIFIED,"Current LSE item and live IIIF manifest confirm title, archive reference and supplied image dimensions.","Booth, C. (1898–1899) Hand Coloured Map Descriptive of London Poverty 1898–1899, Sheet 63: Spitalfields, Whitechapel, Mile End New Town, St George’s in the East. Charles Booth Archive, BOOTH/E/2/31. LSE Digital Library. Available at: https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422 (Accessed: 10 August 2026)."
B04,Bibliography,"Curtis, L. Perry, Jr.",2001,Jack the Ripper and the London Press,Yale University Press,,,368 pp.,,https://yalebooks.yale.edu/book/9780300088724/jack-the-ripper-and-the-london-press/,CITED,PRESENT,VERIFIED,"Official Yale record identifies the title, L. Curtis/L. Perry Curtis and publication on 11 December 2001. The dissertation’s abbreviated form L.P. Jr. is consistent; no thesis edit required.","Curtis, L.P. Jr. (2001) Jack the Ripper and the London Press. New Haven: Yale University Press."
B05,Bibliography,"Gregory, Ian N.; Paterson, Laura L.",2020,English Language and History: Geographical Representations of Poverty in Historical Newspapers,The Routledge Handbook of English Language and Digital Humanities; Routledge,,,418–439,10.4324/9781003031758-22,https://oro.open.ac.uk/58565/,CITED,PRESENT,VERIFIED,"Official Open University repository record confirms authors, chapter, editors, pages, publisher and DOI.","Gregory, I.N. and Paterson, L.L. (2020) ‘English Language and History: Geographical Representations of Poverty in Historical Newspapers’, in Adolphs, S. and Knight, D. (eds) The Routledge Handbook of English Language and Digital Humanities. London: Routledge, pp. 418–439. Available at: https://doi.org/10.4324/9781003031758-22."
B06,Bibliography,"Hamlin, Christopher",1998,"Public Health and Social Justice in the Age of Chadwick: Britain, 1800–1854",Cambridge University Press,,,368 pp.,,https://www.cambridge.org/sm/search?query=Public%20Health%20and%20Social%20Justice%20in%20the%20Age%20of%20Chadwick,CITED,PRESENT,VERIFIED_WITH_EDITION_NOTE,Cambridge records expose 1997/1998 publication or impression distinctions; the cited 1998 Cambridge edition is defensible.,"Hamlin, C. (1998) Public Health and Social Justice in the Age of Chadwick: Britain, 1800–1854. Cambridge: Cambridge University Press."
B07,Bibliography,"Hardy, Anne",1993,"The Epidemic Streets: Infectious Diseases and the Rise of Preventive Medicine, 1856–1900",Clarendon Press / Oxford University Press,,,,10.1093/acprof:oso/9780198203773.001.0001,https://academic.oup.com/book/26956,CITED,PRESENT,VERIFIED,"Oxford Academic confirms Anne Hardy, title, 21 October 1993, Oxford University Press and DOI; Clarendon is the cited OUP imprint.","Hardy, A. (1993) The Epidemic Streets: Infectious Diseases and the Rise of Preventive Medicine, 1856–1900. Oxford: Clarendon Press."
B08,Bibliography,"Hill, Mark J.; Hengchen, Simon",2019,Quantifying the impact of dirty OCR on historical text analysis: Eighteenth Century Collections Online as a case study,Digital Scholarship in the Humanities,34,4,825–843,10.1093/llc/fqz024,https://academic.oup.com/dsh/article-abstract/34/4/825/5476122,CITED,PRESENT,VERIFIED,Official Oxford Academic issue and article records confirm all journal fields and DOI.,"Hill, M.J. and Hengchen, S. (2019) ‘Quantifying the impact of dirty OCR on historical text analysis: Eighteenth Century Collections Online as a case study’, Digital Scholarship in the Humanities, 34(4), pp. 825–843. Available at: https://doi.org/10.1093/llc/fqz024."
B09,Bibliography,"Holdsworth, W. A.",1891,"The Public Health (London) Act, 1891: With an Introduction, Notes, and an Index","George Routledge and Sons, Limited",,,192 pp.,,https://wellcomecollection.org/works/krgyghjx/items,CITED,PRESENT,VERIFIED,"Official Wellcome catalogue and digitised title page confirm W. A. Holdsworth, title and date; the item is marked Public Domain.","Holdsworth, W.A. (1891) The Public Health (London) Act, 1891: With an Introduction, Notes, and an Index. London: George Routledge and Sons, Limited."
B10,Bibliography,"Lee, Daniel D.; Seung, H. Sebastian",1999,Learning the parts of objects by non-negative matrix factorization,Nature,401,,788–791,10.1038/44565,https://www.nature.com/articles/44565,CITED,PRESENT,VERIFIED,"Official Nature record confirms authors, title, volume, pages, publication date and DOI.","Lee, D.D. and Seung, H.S. (1999) ‘Learning the parts of objects by non-negative matrix factorization’, Nature, 401, pp. 788–791. Available at: https://doi.org/10.1038/44565."
