occurrence_number,quotation,chapter_section,dissertation_paragraph,reporting_year,publication_year,wellcome_report_id,claimed_printed_page,local_source_txt,passage_id_where_available,source_verification_basis,status,notes
1,Foreign Immigration,1.1 Research Context,126,1896,1897,b18038244,3,reproducibility/data/raw/moh/Whitechapel_1896_b18038244_fulltext.txt,1896_0002,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
2,a quantity of chestnuts and water melons unfit for human food,4.6 Contextual Validation of Place–Disease Co-occurrence,265,1894,1895,b1801835x,43,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0059,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
3,"1, New Buildings, Tenter Street",4.6 Contextual Validation of Place–Disease Co-occurrence,265,1894,1895,b1801835x,43,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0059,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
4,a child suffering from scarlet fever in the workshop,4.6 Contextual Validation of Place–Disease Co-occurrence,265,1894,1895,b1801835x,43,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0059,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
5,totally unfit for human habitation,4.6 Contextual Validation of Place–Disease Co-occurrence,265,1894,1895,b1801835x,44,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0059,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
6,re-vaccinated nearly all the persons,4.6 Contextual Validation of Place–Disease Co-occurrence,266,1895,1896,b19883687,7,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0014,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
7,"the Victoria Home, No. 1 in Commercial Street, where 8 of the cases occurred",4.6 Contextual Validation of Place–Disease Co-occurrence,266,1895,1896,b19883687,7,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0014,Frozen local source transcription and current passage extraction,SOURCE_TEXT_VERIFIED,Newly captured by a full re-extraction of quotation-marked occurrences; the wording resolves in the frozen source text and selected passage.
8,notice and supervision,"5.2 Institutional Setting, Production and Audience",283,1892,1893,b19883675,40,reproducibility/data/raw/moh/Whitechapel_1892_b19883675_fulltext.txt,1892_0052,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883675 page 40; wording and attribution match.
9,most loyally seconded,5.3 From Statutory Authority to Local Administration,287,1890,1891,b19883651,14,reproducibility/data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,1890_0018,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883651 page 14.
10,render him such assistance as may be reasonably necessary,"5.4 Inspection, Access and Enforcement",293,1893,1894,b18018348,54,reproducibility/data/raw/moh/Whitechapel_1893_b18018348_fulltext.txt,1893_0092,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b18018348 page 54.
11,Work done. Summons withdrawn,"5.4 Inspection, Access and Enforcement",295,1894,1895,b1801835x,43,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0059,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 43.
12,agreed to assist the Officers of the Board in every way,5.5 Institutional Coordination and Administrative Disease Knowledge,300,1895,1896,b19883687,6,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0009,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883687 page 6.
13,under the inspection of the officers of the Board,5.5 Institutional Coordination and Administrative Disease Knowledge,300,1895,1896,b19883687,6,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0009,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883687 page 6.
14,strangers who might come from other spheres of contagion,5.5 Institutional Coordination and Administrative Disease Knowledge,301,1895,1896,b19883687,6,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0009,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883687 page 6.
15,upon the same footing as the Registered Common Lodging-houses,5.5 Institutional Coordination and Administrative Disease Knowledge,302,1895,1896,b19883687,6,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0009,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883687 page 6.
16,to improve the dwellings of the poor,"6.2 Housing, Overcrowding and Insanitary Premises",317,1890,1891,b19883651,18,reproducibility/data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,1890_0024,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883651 page 18.
17,imperative duty,"6.2 Housing, Overcrowding and Insanitary Premises",318,1894,1895,b1801835x,15,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0020,Wellcome original report page image,PAGE_IMAGE_VERIFIED,"Verified on b1801835x page 15. High-risk attribution check passed: the words are Longstaff’s, quoted and then answered by Loane."
18,Perfectly true!,"6.2 Housing, Overcrowding and Insanitary Premises",318,1894,1895,b1801835x,15,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0020,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 15.
19,very unsuccessful,"6.2 Housing, Overcrowding and Insanitary Premises",318,1894,1895,b1801835x,15,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0020,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 15.
20,in a worse state than ever,"6.2 Housing, Overcrowding and Insanitary Premises",320,1897,1898,b19883699,11,reproducibility/data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,1897_0024,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883699 page 11.
21,become scattered,"6.2 Housing, Overcrowding and Insanitary Premises",321,1899,1900,b19883717,18,reproducibility/data/raw/moh/Whitechapel_1899_b19883717_fulltext.txt,1899_0038,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883717 page 18; paper preserves the surrounding figures and does not claim known resettlement outcomes.
22,one of the necessities of life,"6.3 Drainage, Water Supply and Material Sanitation",327,1894,1895,b1801835x,9,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0014,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 9.
23,the poorer inhabitants who were unable to store water for drinking purposes,"6.3 Drainage, Water Supply and Material Sanitation",328,1898,1899,b19883705,5,reproducibility/data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,1898_0008,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883705 page 5.
24,the poorest people,"6.3 Drainage, Water Supply and Material Sanitation",329,1898,1899,b19883705,5,reproducibility/data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,1898_0009,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883705 page 5.
25,as a sleeping apartment,"6.4 Workplaces, Domestic Space and Unequal Exposure",334,1894,1895,b1801835x,40,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0055,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 40.
26,sufficient and suitable accommodation,"6.4 Workplaces, Domestic Space and Unequal Exposure",335,1894,1895,b1801835x,40,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0055,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 40.
27,overcrowded and not properly ventilated,"6.4 Workplaces, Domestic Space and Unequal Exposure",335,1895,1896,b19883687,45,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0075,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883687 page 45.
28,Work done. Summons withdrawn,"6.4 Workplaces, Domestic Space and Unequal Exposure",336,1894,1895,b1801835x,43,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0059,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 43; second occurrence in the dissertation is audited separately.
29,where the comparatively destitute are housed,6.5 Direct and Indirect Language of Inequality,341,1892,1893,b19883675,17,reproducibility/data/raw/moh/Whitechapel_1892_b19883675_fulltext.txt,1892_0026,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883675 page 17.
30,large numbers of the lowest class of persons,6.5 Direct and Indirect Language of Inequality,342,1895,1896,b19883687,6,reproducibility/data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,1895_0010,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883687 page 6.
31,almost entirely by Polish Jews,6.5 Direct and Indirect Language of Inequality,343,1894,1895,b1801835x,16,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0024,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 16.
32,Want of Funds,6.5 Direct and Indirect Language of Inequality,343,1894,1895,b1801835x,17,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0025,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 17. High-risk institutional-direction check passed: this is not the Whitechapel Board pleading lack of funds.
33,theory and experience do not always agree,6.5 Direct and Indirect Language of Inequality,344,1894,1895,b1801835x,17,reproducibility/data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,1894_0026,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b1801835x page 17.
34,Foreign population,6.5 Direct and Indirect Language of Inequality,344,1899,1900,b19883717,3,reproducibility/data/raw/moh/Whitechapel_1899_b19883717_fulltext.txt,1899_0002,Wellcome original report page image,PAGE_IMAGE_VERIFIED,Verified on b19883717 page 3.
