category,name,identifier,source_url,verification_status,notes
Historical map,Booth Poverty Map Sheet 63,BOOTH/E/2/31,https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,verified_official_archive,"Only the supplied 10,059 × 6,746 scan is used by the pipeline."
Historical map metadata,Booth Sheet 63 IIIF manifest,LSE IIIF,https://iiif.quartexcollections.com/lse/iiif/f0cc6f49-385d-4969-bea8-2fb47a814a3d/manifest,verified_manifest,Metadata manifest; the repository retains a frozen copy.
Archive catalogue,Charles Booth notebooks and search catalogue,LSE Booth archive,https://booth.lse.ac.uk/,verified_official_archive,"Used for contextual historical-location checking, not as a GIS geocoder."
Local archive,Whitechapel District Board of Works records,L/WBW,https://www.thcatalogue.org.uk/calmview/Record.aspx?id=L%2FWBW&src=CalmView.Catalog,verified_official_archive,Catalogue description only; no bulk copyrighted files copied.
MOH contextual report,LCC sanitary condition and administration of Whitechapel,b18252436,https://www.wellcomelibrary.org/moh/report/b18252436/189,verified_primary_source_page,Digitised historical report page.
MOH report,Whitechapel annual report for reporting year 1890,b19883651,https://wellcomelibrary.org/moh/report/b19883651,verified_primary_source_identifier,Published 1891; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1891,b19883663,https://wellcomelibrary.org/moh/report/b19883663,verified_primary_source_identifier,Published 1892; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1892,b19883675,https://wellcomelibrary.org/moh/report/b19883675,verified_primary_source_identifier,Published 1893; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1893,b18018348,https://wellcomelibrary.org/moh/report/b18018348,verified_primary_source_identifier,Published 1894; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1894,b1801835x,https://wellcomelibrary.org/moh/report/b1801835x,verified_primary_source_identifier,Published 1895; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1895,b19883687,https://wellcomelibrary.org/moh/report/b19883687,verified_primary_source_identifier,Published 1896; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1896,b18038244,https://wellcomelibrary.org/moh/report/b18038244,verified_primary_source_identifier,Published 1897; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1897,b19883699,https://wellcomelibrary.org/moh/report/b19883699,verified_primary_source_identifier,Published 1898; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1898,b19883705,https://wellcomelibrary.org/moh/report/b19883705,verified_primary_source_identifier,Published 1899; frozen plain-text input is in reproducibility/data/raw/moh/.
MOH report,Whitechapel annual report for reporting year 1899,b19883717,https://wellcomelibrary.org/moh/report/b19883717,verified_primary_source_identifier,Published 1900; frozen plain-text input is in reproducibility/data/raw/moh/.
