dictionary_status,audit_term,passage_count,report_count,years,passage_ids
Existing term,working classes,17,7,1890; 1891; 1892; 1893; 1894; 1897; 1899,1890_0016; 1890_0022; 1890_0024; 1891_0057; 1892_0030; 1893_0028; 1893_0029; 1894_0020; 1894_0025; 1894_0050; 1894_0059; 1897_0007; 1897_0021; 1897_0024; 1899_0002; 1899_0035; 1899_0038
Existing term,poor,7,6,1890; 1891; 1892; 1893; 1896; 1898,1890_0024; 1891_0039; 1892_0018; 1892_0019; 1893_0023; 1896_0021; 1898_0008
Existing term,poorer,2,2,1898; 1899,1898_0008; 1899_0034
Existing term,lodgers,8,4,1891; 1892; 1893; 1895,1891_0014; 1892_0026; 1893_0083; 1893_0092; 1893_0098; 1893_0100; 1893_0109; 1895_0034
Existing term,lodging-houses,8,5,1891; 1893; 1894; 1895; 1896,1891_0014; 1893_0023; 1894_0014; 1895_0009; 1895_0010; 1895_0014; 1895_0034; 1896_0029
Existing term,infirmary,6,6,1891; 1892; 1894; 1895; 1896; 1899,1891_0014; 1892_0027; 1894_0014; 1895_0014; 1896_0029; 1899_0024
Proposed addition,working class,1,1,1897,1897_0009
Proposed addition,poorest,2,2,1892; 1898,1892_0026; 1898_0009
Proposed addition,poverty,1,1,1894,1894_0026
Proposed addition,destitute,1,1,1892,1892_0026
Proposed addition,destitution,0,0,,
Proposed addition,lodger,8,2,1893; 1899,1893_0087; 1893_0088; 1893_0089; 1893_0091; 1893_0092; 1893_0093; 1893_0095; 1899_0004
Proposed addition,lodging-house,13,3,1892; 1893; 1899,1892_0027; 1893_0023; 1893_0083; 1893_0087; 1893_0088; 1893_0089; 1893_0090; 1893_0091; 1893_0092; 1893_0093; 1893_0094; 1893_0095; 1899_0034
