audit_term,report_year,passage_id,passage_text
destitute,1892,1892_0026,"The Government has been requested to transfer the supervision of these houses from the police to the Local Sanitary Authorities. I must at once declare that when the class of house is taken into consideration, together with the persons who lodge therein, my* experience compels me to assert that the change proposed would not be a good one. At present the police sergeant (who acts under his superintendent) admirably supervises the arrangements for the health of the lodgers, and in matters requiring their intervention, the Sanitary Authorities are called in to co-operate. The regulations governing accommodation and ventilation are well framed under the provision of the Lodginghouses Acts, and I am sorry that all houses, where the comparatively destitute are housed, have not the advantage of similar supervision. It has been my duty on account of a case of small-pox occurring at each, to investigate the sanitary condition of two large shelters provided by a philanthropic association for sleeping the poorest persons. I will not here detail all that I have been compelled to note concerning the places themselves, and the sleeping accommodation provided; but I feel unable to answer the question which arises in my mind, namely :�What good purpose is here being served, which could not be better attained by the police registered and supervised Common-lodging Houses ?"
lodger,1893,1893_0087,"In these bye-laws, unless the context otherwise requires, the following words and expressions have the meanings hereinafter respectively assigned to them ; that is to say,� "" Sanitary Authority"" means the Board of Works for the Whitechapel District. ""Lodging-house"" means a house or part of a house which is let in lodgings or occupied by members of more than one family. ""Landlord,"" in relation to a house or part of a house which is let in lodgings or occupied by members of more than one family, means the person (whatever may be the nature or extent of his interest in the premises) by whom or on whose behalf such house or part of a house is let in lodgings or for occupation by members of more than one family, or who for the time being receives, or is entitled to receive the profits arising from such letting. ""Lodger,"" in relation to a house or part of a house which is let in lodgings or occupied by members of more than one family, means a person to whom any rooms, room, or part of a room, in such house or part of a house may have been let as a lodging or for his use and occupation."
lodger,1893,1893_0088,"Exempted Houses. 2. In either of the following cases a lodging-house shall be exempted from the operation of these bye-laws; that is to say,� (a) Where the rent or charge payable by each lodger, and exclusive of any charge for the use by such lodger of any furniture, is at a rate exceeding five shillings per week. (b) Where the rent or charge payable by each lodger, and inclusive of any charge for the use by such lodger of any furniture, is at a rate exceeding seven shillings and sixpence per week. 53 (a) For fixing the number of persons who may occupy a house or part of a house which is let in lodgings or occupied by members of more than one family. 3. The landlord of a lodging-house, or a lodger therein, shall not knowingly cause or suffer a greater number of persons than will admit of the provision of three hundred cubic feet of free air space for each person of an age exceeding ten years, and of one hundred and fifty cubic feet of free air space for each person of an age not exceeding ten years to occupy, at any one time, as a sleeping apartment, a room which is used exclusively for that purpose, and which is under the control of such landlord, or which has been let to such lodger, respectively, as the case may be."
lodger,1893,1893_0089,"4. The landlord of a lodging-house, or a lodger therein, shall not knowingly cause or suffer a greater number of persons than will admit of the provision of four hundred cubic feet of free air space for each person of an age exceeding ten years, and of two hundred cubic feet of free air space for each person of an age not exceeding ten years to occupy, at any one time, as a sleeping apartment, a room which is not used exclusively for that purpose, and which is under the control of such landlord, or which has been let to such lodger respectively, as the case may be. (b) For the registration of houses so let or occupied. 5."
lodger,1893,1893_0091,"6. In any case where the landlord of a lodging-house occupies or resides in any part of the premises, or retains a general possession or control of the premises, such landlord, and in any case where the landlord of a lodging-house does not occupy or reside in any 54 part of the premises, or retain a general possession or control of the premises, every lodger who is entitled to have or to exercise the control of the outer door of the premises shall, at all times when required by the Medical Officer of Health, the Sanitary Inspector, or any other officer specially appointed or authorised by the Sanitary Anthority in that behalf, afford any such officer free access to the interior of the premises for the purpose of inspection. 7. Every lodger in a lodging-house shall, at all times when required by the Medical Officer of Health, the Sanitary inspector or any other officer specially appointed or authorised by the Sanitary Authority in that behalf, afford any such officer free access for the purpose of inspection to the interior of any room or rooms which may have been let to such lodger."
lodger,1893,1893_0092,"8. Where the Medical Officer of Health, the Sanitary Inspector, or any other officer specially appointed or authorised by the Sanitary Authority in that behalf, has, for the purpose of inspection, obtained access to the interior of a lodging-house or to the interior of any room or rooms in such house, a person shall not wilfuly obstruct any such officer in the inspection of any part of the premises, or, without reasonable excuse, neglect or refuse, when required by any such officer, to render him such assistance as may be reasonably necessary for the purpose of such inspection. (d) For enforcing drainage for such houses, and for promoting cleanliness and ventilation in such houses. 9. The landlord of a lodging-house shall in all cases provide an adequate supply of water for the use of the lodgers. 10. In any case where a lodger in a lodging-house is entitled to the exclusive use of any court, court-yard, area, or other open space within the curtilage of the premises, such lodger, and in any case where two or more lodgers in a lodging-house are entitled to the use in common of any court, court-yard, area, or other open space within the curtilage of the premises, the landlord shall cause such court, court-yard, area, or other open space to be thoroughly cleansed from time to time as often as may be requisite for the purpose of keeping the same in a cleanly condition."
lodger,1893,1893_0093,"11. The landlord of a lodging-house shall cause every drain or means of drainage with which any water-closet belonging to such house may communicate to be maintained at all times in good order and efficient action. He shall also cause all such means of ventilation as may be provided in or in connection therewith to be maintained at all times in good order. 12. Every lodger in a lodging-house shall cause all solid or liquid filth or refuse to be removed once at least in every day from every room which has been let to him, and shall once at least in every day cause every vessel, utensil, or other receptacle for such filth or refuse to be thoroughly cleansed. 13. In every case where a lodger in a lodging-house is entitled to the exclusive use of any staircase, landing or passage in 55 such house, such lodger shall cause every part of such staircase, landing or passage to be thoroughly cleansed from time to time as often as may be requisite. 14. A lodger in a lodging-house shall not cause or suffer any animal to be kept in any room which has been let to such lodger or elsewhere upon the premises in such a manner as to render the condition of such room or premises filthy."
lodger,1893,1893_0095,"17. The landlord of a lodging-house shall provide adequate means of ventilation in or in connection with every common passage or staircase in such house, and shall cause such means of ventilation to be maintained at all times in good order. 18. The landlord of a lodging-house shall cause all such means of ventilation as may be provided in or in connection with any room in such house to be maintained at all times in good order. (f) For the taking of precautions in case of any infectious disease. 19. In every case where, in pursuance of any statutory provision in that behalf, an order of a justice has been obtained for the removal from a lodging-house to a hospital of a person who is suffering from any dangerous infectious disease and is without proper lodging or accommodation, the landlord of such house, and the lodger to whom any room whereof such person may be an occupant has been let shall, on being imformed of such order, forthwith take all such steps as may be requisite on the part of 56 such landlord and of such lodger, respectively, to secure the safe and prompt removal of such person in compliance with such order, and shall, in and about such removal, adopt all such precautions as, in accordance with any instructions which such landlord and such lodger, respectively, may receive from the Medical Officer of Health of the Sanitary Authority, may be most suitable for the circumstances of the case."
lodger,1899,1899_0004,"After much consideration a representation was made to the Local Government Board for permission to amend the exemption clause of the 94th Section of the Act. The necessity of a change was so apparent that the approval of the Local Government Board was at once given to your proposal, so that houses are now liable to registration where the lodger rental does not exceed seven shillings and sixpence per week for unfurnished apartments, and fifteen shillings per week where the apartments are let furnished. The latter case concerns the District to a very limited extent. The effect of this modification will be that many more additions will be made to the Register, and probably in time the services of an Inspector may be required to permit such dwellings to receive sufficient visitation. Such houses, liable as they undoubtedly are, to all the evils produced by overcrowding, should be inspected, if possible, weekly. During the year under consideration, I have become aware in the hundreds of houses I have myself inspected, of instances where part of a two or three-roomed tenement has been sub-let to others by the tenant."
lodging-house,1892,1892_0027,"Suffice it to add, that I shall not fail in future to closely watch all similar houses, and when the 94th section of the Public Health (London) Act, 1891, shall be in operation in the District, all such establishments will probably be registered by your Board. That proper and sufficient lodging should be supplied for the nomadic labourer, to whom his lodging-house becomes his club, must be apparent to all; I am only anxious that such persons shall be surrounded by proper hygienic conditions. Last year I included in my Report a list of admissions into the Union Infirmary upon Medical Orders only, of persons lodging in the various shelters within the District. To the number of houses then given, another has been added. I append the correct list:� 18 Shelters. No. of Admission Orders given by the District Medical Officers. Salvation Army Shelter for men, 272, Whitechapel-road 182 � � women, 194, Hanbury-street 222 � � men, Quaker-street 102 � men, Royal Mint-street 56 Church Army Shelter for men, 83, Whitechapel-road 2 Tenter-street Shelter for Foreign Jews 21 Barnardo's Shelter for women, 12, Dock-street 62 647 When to this list is added the many cases where admission is obtained on the score of ""urgency,"" without the intervention of the District Medical Officers, it will be apparent that such shelters influence the statistics in a very considerable degree."
