place_id,standard_name,variant,type,notes
P001,Whitechapel Road,,street,
P002,Whitechapel High Street,,street,
P003,Brick Lane,,street,
P004,Commercial Road,,street,
P005,Osborne Street,,street,
P006,Wentworth Street,,street,
P007,Flower and Dean Street,,street,
P008,Dorset Street,,street,
P009,Hanbury Street,,street,
P010,Leman Street,,street,
P011,Aldgate,,district/place,
P012,Spitalfields,,district/place,
P013,Mile End,,district/place,
P014,Mile End New Town,,district/place,
P015,St George's in the East,,district/place,
P016,London Hospital,,institution,
P017,Whitechapel Workhouse,,institution,
P018,Commercial Street,,street,
P019,George Yard,,street/place,
P020,Thrawl Street,,street,
P021,Fashion Street,,street,
P022,Mile End Old Town,,district/place,
