report_id,district,report_year,published_year,title,url,local_file,file_type,notes
b19883651,Whitechapel,1890,1891,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883651,data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b19883663,Whitechapel,1891,1892,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883663,data/raw/moh/Whitechapel_1891_b19883663_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b19883675,Whitechapel,1892,1893,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883675,data/raw/moh/Whitechapel_1892_b19883675_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b18018348,Whitechapel,1893,1894,"The annual report on the sanitary condition of the Whitechapel District, (with vital and other statistics), for the year 1893 (consisting of 52 weeks) being the tenth annual report",https://wellcomelibrary.org/moh/report/b18018348,data/raw/moh/Whitechapel_1893_b18018348_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b1801835x,Whitechapel,1894,1895,"The annual report on the sanitary condition of the Whitechapel District, (with vital and other statistics), for the year 1894 (consisting of 52 weeks) being the eleventh annual report",https://wellcomelibrary.org/moh/report/b1801835x,data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b19883687,Whitechapel,1895,1896,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883687,data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b18038244,Whitechapel,1896,1897,"The annual report on the sanitary condition of the Whitechapel District, (with vital and other statistics), for the year 1896 (consisting of 53 weeks) being the thirteenth annual report",https://wellcomelibrary.org/moh/report/b18038244,data/raw/moh/Whitechapel_1896_b18038244_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b19883699,Whitechapel,1897,1898,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883699,data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b19883705,Whitechapel,1898,1899,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883705,data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
b19883717,Whitechapel,1899,1900,[Report of the Medical Officer of Health for Whitechapel],https://wellcomelibrary.org/moh/report/b19883717,data/raw/moh/Whitechapel_1899_b19883717_fulltext.txt,txt,Discovered from public Wellcome/London's Pulse Tower Hamlets browse page. Full text extracted from public Tower Hamlets TXT ZIP.
