place,old_x,old_y,new_x,new_y,status,spatial_precision,number_precision,evidence_basis,verification_note,changed,reason_for_change
Aldgate,5150,3670,5150,3670,representative_site,representative_district_context_point,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Representative district context point only; no GIS polygon or exact centroid is claimed.,no,Existing point remained consistent with the full-resolution scan review.
Brick Lane,6100,1700,6100,1700,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Brick Lane corridor and represents the displayed study-area segment.,no,Existing point remained consistent with the full-resolution scan review.
Commercial Street,5400,1800,5400,1800,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Commercial Street corridor and represents the displayed study-area segment.,no,Existing point remained consistent with the full-resolution scan review.
Fashion Street,5900,2050,5900,2050,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Fashion Street segment.,no,Existing point remained consistent with the full-resolution scan review.
Flower and Dean Street,5850,2240,5850,2240,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Flower and Dean Street segment.,no,Existing point remained consistent with the full-resolution scan review.
George Yard,6100,2320,6160,3000,historical_site_approximate,representative_historical_site,not_applicable,George Yard is labelled on the supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point is placed on the visible George Yard alignment; it is not an exact site centroid or geocode.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative context point.
Hanbury Street,6400,1200,6400,1335,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Hanbury Street corridor and represents the displayed segment.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative context point.
Leman Street,5200,2900,6350,4000,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422; 1891 census enumeration https://census1891.com/rg12-281sum.php,"Candidate lies directly on the labelled Leman Street corridor, correcting the prior Goulston Street-area point.",yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative context point.
London Hospital,8950,2100,8950,2100,representative_site,representative_institution_site,not_applicable,London Hospital grounds are labelled on the supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Representative point within the labelled institutional grounds; not a building entrance geocode.,no,Existing point remained consistent with the full-resolution scan review.
Mile End Old Town,8500,1500,,,outside_sheet_extent,neighbouring_administrative_reference,not_applicable,"Source-reviewed passages 1893_0011, 1894_0023 and 1897_0015; Booth Sheet 63 extent review",Source passages identify Mile End Old Town; the v4 Mile End point represented Mile End New Town/Whitechapel Union context and is not retained as a substitute.,yes,Reclassified the source label and assigned no numeric coordinate because Mile End Old Town falls outside or largely outside Sheet 63.
