address,old_x,old_y,new_x,new_y,status,spatial_precision,number_precision,evidence_basis,verification_note,changed,reason_for_change
"1 New Buildings, Tenter Street",5800,4000,6380,4400,unresolved,street_network_relationship_only,house_number_unverified,Supplied Booth scan; LSE Booth notebook index https://booth.lse.ac.uk/search?page=373,"Tenter Street East/North/South are visible and the Booth notebook index associates New Buildings with this street network, but No. 1 and a unique building site are not resolved; point is a representative Tenter Street relationship only.",yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
12 Duncan Street,6740,1790,6075,3835,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan; 1891 census enumeration https://census1891.com/rg12-281sum.php,Candidate lies on the labelled Duncan Street west of Leman Street; No. 12 is not independently located.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
126 Old Montague Street,7700,2000,7700,1850,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Old Montague Street alignment; the individual house number is not resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
141 Hanbury Street,7150,1260,7150,1340,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Hanbury Street alignment; the individual house number is not resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
148 Old Montague Street,7900,1960,7900,1740,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Old Montague Street alignment; the individual house number is not resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
178 Hanbury Street,7500,1500,7500,1265,visible_street_segment,street_level_only,house_number_unverified,Supplied 10059 x 6746 Booth Sheet 63 scan and maps/coordinate_audit/evidence_hanbury_178.png,Candidate visually reverified on the visible eastern Hanbury Street corridor; the individual house number remains unresolved.,yes,Corrected the v4 point south of Hanbury Street to the visually confirmed street corridor without claiming doorway precision.
2 Fisher's Alley (North),4910,1670,4750,2525,historical_site_approximate,court_or_alley_site,house_number_unverified,Supplied Booth scan plus source listings in the Whitechapel MOH report https://wellcomelibrary.org/moh/report/b18018348/45,The small alley is not legibly distinguished on this scan. A representative site in the Bell Lane/Cox Square clearance area is used; North and South share the same coordinate and no artificial display offset is introduced.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
2 Fisher's Alley (South),4910,1710,4750,2525,historical_site_approximate,court_or_alley_site,house_number_unverified,Supplied Booth scan plus source listings in the Whitechapel MOH report https://wellcomelibrary.org/moh/report/b18018348/45,The small alley is not legibly distinguished on this scan. A representative site in the Bell Lane/Cox Square clearance area is used; North and South share the same coordinate and no artificial display offset is introduced.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
20 Corbett's Court,6010,1230,6010,1230,court_or_alley_site,court_or_alley_site,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422; source listing https://wellcomelibrary.org/moh/report/b18018348/45,Candidate represents the mapped Corbett's Court off Hanbury Street; No. 20 is not independently resolved.,no,Existing point remained consistent with the full-resolution scan review.
20 White's Row,5200,2100,5200,2140,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled White's Row alignment; No. 20 is not independently resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
22 Heneage Street,6600,1900,6600,1840,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the labelled Heneage Street alignment; No. 22 is not independently resolved.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
27 Old Montague Street,6310,2360,6310,2550,visible_street_segment,street_level_only,house_number_unverified,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Candidate lies on the western Old Montague Street alignment. Two proceedings share this textual address; the map retains one point. No. 27 is not doorway-verified.,yes,Candidate rechecked at full scan resolution and moved to the labelled street/site alignment or conservative representative site.
