place,image_x,image_y,status,spatial_precision,number_precision,evidence_basis,verification_note,reviewed_on
Aldgate,5150,3670,representative_site,representative_district_context_point,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Representative district context point only; no GIS polygon or exact centroid is claimed.,2026-08-12
Brick Lane,6100,1700,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Brick Lane corridor and represents the displayed study-area segment.,2026-08-12
Commercial Street,5400,1800,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Commercial Street corridor and represents the displayed study-area segment.,2026-08-12
Fashion Street,5900,2050,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Fashion Street segment.,2026-08-12
Flower and Dean Street,5850,2240,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Flower and Dean Street segment.,2026-08-12
George Yard,6160,3000,historical_site_approximate,representative_historical_site,not_applicable,George Yard is labelled on the supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point is placed on the visible George Yard alignment; it is not an exact site centroid or geocode.,2026-08-12
Hanbury Street,6400,1335,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Hanbury Street corridor and represents the displayed segment.,2026-08-12
Leman Street,6350,4000,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422; 1891 census enumeration https://census1891.com/rg12-281sum.php,"Candidate lies directly on the labelled Leman Street corridor, correcting the prior Goulston Street-area point.",2026-08-12
London Hospital,8950,2100,representative_site,representative_institution_site,not_applicable,London Hospital grounds are labelled on the supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Representative point within the labelled institutional grounds; not a building entrance geocode.,2026-08-12
Mile End New Town,7900,1100,representative_site,representative_district_context_point,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Representative district context point within the map label; no GIS polygon or exact centroid is claimed.,2026-08-12
Spitalfields,5900,1500,representative_site,representative_district_context_point,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Representative district context point within the map label; no GIS polygon or exact centroid is claimed.,2026-08-12
Thrawl Street,5750,2450,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Thrawl Street segment.,2026-08-12
Wentworth Street,5550,2750,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,Point lies on the labelled Wentworth Street segment.,2026-08-12
Whitechapel Road,8000,2200,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,"Candidate lies on the principal Whitechapel Road alignment, correcting the prior off-road point.",2026-08-12
Whitechapel High Street,6500,3000,visible_street_segment,representative_visible_street_segment,not_applicable,Supplied Booth scan https://digital.library.lse.ac.uk/documents/detail/hand-coloured-map-descriptive-of-london-poverty-1898-1899-sheet-63-spitalfields-whitechapel-mile-end-new-town-st-georges-in-the-east/54422,"Representative point lies on the principal street alignment west of Church Lane; no address-level or GIS precision is claimed.",2026-08-14
