report_year,category,raw_count,narrative_word_count,hits_per_10000_words
1890,disease,9,3338,26.962252846015577
1890,governance,17,3338,50.92869982025165
1890,housing,22,3338,65.9077291791492
1890,inequality,6,3338,17.97483523067705
1890,sanitary,29,3338,86.87837028160575
1891,disease,3,5535,5.420054200542006
1891,governance,68,5535,122.85456187895211
1891,housing,10,5535,18.066847335140018
1891,inequality,2,5535,3.613369467028004
1891,sanitary,56,5535,101.17434507678409
1892,disease,23,4262,53.96527451900516
1892,governance,36,4262,84.46738620366024
1892,housing,19,4262,44.580009385265136
1892,inequality,5,4262,11.731581417175034
1892,sanitary,22,4262,51.618958235570155
1893,disease,8,11969,6.683933494861726
1893,governance,83,11969,69.3458100091904
1893,housing,51,11969,42.61007602974351
1893,inequality,4,11969,3.341966747430863
1893,sanitary,112,11969,93.57506892806417
1894,disease,10,4674,21.39495079161318
1894,governance,38,4674,81.30081300813009
1894,housing,24,4674,51.34788189987162
1894,inequality,7,4674,14.976465554129225
1894,sanitary,55,4674,117.6722293538725
1895,disease,30,5269,56.93680015183147
1895,governance,48,5269,91.09888024293035
1895,housing,17,5269,32.2641867527045
1895,inequality,0,5269,0.0
1895,sanitary,37,5269,70.22205352059214
1896,disease,25,4213,59.34013766911939
1896,governance,12,4213,28.483266081177305
1896,housing,16,4213,37.977688108236414
1896,inequality,1,4213,2.373605506764776
1896,sanitary,26,4213,61.71374317588417
1897,disease,14,4247,32.96444549093478
1897,governance,27,4247,63.57428773251708
1897,housing,26,4247,61.219684483164585
1897,inequality,4,4247,9.418412997409936
1897,sanitary,34,4247,80.05651047798446
1898,disease,5,2578,19.39487975174554
1898,governance,21,2578,81.45849495733127
1898,housing,10,2578,38.78975950349108
1898,inequality,3,2578,11.636927851047323
1898,sanitary,15,2578,58.18463925523661
1899,disease,6,5343,11.229646266142618
1899,governance,56,5343,104.81003181733108
1899,housing,34,5343,63.63466217480816
1899,inequality,4,5343,7.486430844095079
1899,sanitary,15,5343,28.07411566535654
