report_id,report_year,category,term,raw_count,word_count,frequency_per_10000_words
b19883651,1890,disease,cholera,3,8047,3.728097427612775
b19883651,1890,disease,consumption,0,8047,0.0
b19883651,1890,disease,diarrhoea,1,8047,1.2426991425375917
b19883651,1890,disease,diphtheria,11,8047,13.66969056791351
b19883651,1890,disease,fever,43,8047,53.43606312911644
b19883651,1890,disease,influenza,3,8047,3.728097427612775
b19883651,1890,disease,measles,11,8047,13.66969056791351
b19883651,1890,disease,scarlet fever,10,8047,12.426991425375917
b19883651,1890,disease,smallpox,0,8047,0.0
b19883651,1890,disease,typhoid,0,8047,0.0
b19883651,1890,disease,typhus,9,8047,11.184292282838326
b19883651,1890,governance,board,9,8047,11.184292282838326
b19883651,1890,governance,inspection,6,8047,7.45619485522555
b19883651,1890,governance,inspections,1,8047,1.2426991425375917
b19883651,1890,governance,inspector,0,8047,0.0
b19883651,1890,governance,medical officer,8,8047,9.941593140300734
b19883651,1890,governance,notices,3,8047,3.728097427612775
b19883651,1890,governance,sanitary authority,0,8047,0.0
b19883651,1890,governance,summonses,1,8047,1.2426991425375917
b19883651,1890,governance,vestry,0,8047,0.0
b19883651,1890,housing,common lodging house,0,8047,0.0
b19883651,1890,housing,dwellings,18,8047,22.368584565676652
b19883651,1890,housing,houses,37,8047,45.97986827389089
b19883651,1890,housing,lodging house,0,8047,0.0
b19883651,1890,housing,overcrowded,0,8047,0.0
b19883651,1890,housing,overcrowding,1,8047,1.2426991425375917
b19883651,1890,housing,rooms,8,8047,9.941593140300734
b19883651,1890,housing,tenement,0,8047,0.0
b19883651,1890,sanitary,dirty,0,8047,0.0
b19883651,1890,sanitary,drain,7,8047,8.698893997763141
b19883651,1890,sanitary,drainage,6,8047,7.45619485522555
b19883651,1890,sanitary,drains,6,8047,7.45619485522555
b19883651,1890,sanitary,filth,1,8047,1.2426991425375917
b19883651,1890,sanitary,nuisance,2,8047,2.4853982850751835
b19883651,1890,sanitary,nuisances,5,8047,6.213495712687958
b19883651,1890,sanitary,refuse,0,8047,0.0
b19883651,1890,sanitary,sanitary,13,8047,16.155088852988694
b19883651,1890,sanitary,sanitation,1,8047,1.2426991425375917
b19883651,1890,sanitary,sewage,0,8047,0.0
b19883651,1890,sanitary,sewer,2,8047,2.4853982850751835
b19883651,1890,sanitary,sewers,0,8047,0.0
b19883651,1890,sanitary,water supply,3,8047,3.728097427612775
b19883663,1891,disease,cholera,3,11036,2.7183762232693005
b19883663,1891,disease,consumption,1,11036,0.9061254077564335
b19883663,1891,disease,diarrhoea,2,11036,1.812250815512867
b19883663,1891,disease,diphtheria,11,11036,9.967379485320768
b19883663,1891,disease,fever,45,11036,40.775643349039505
b19883663,1891,disease,influenza,11,11036,9.967379485320768
b19883663,1891,disease,measles,13,11036,11.779630300833634
b19883663,1891,disease,scarlet fever,11,11036,9.967379485320768
b19883663,1891,disease,smallpox,0,11036,0.0
b19883663,1891,disease,typhoid,0,11036,0.0
