category,term,raw_count,word_count,frequency_per_10000_words
disease,fever,619,121057,51.132937376607714
disease,diphtheria,166,121057,13.712548634114508
disease,scarlet fever,140,121057,11.564800052867657
disease,measles,118,121057,9.74747433027417
disease,typhus,117,121057,9.664868615610828
disease,cholera,83,121057,6.856274317057254
disease,influenza,53,121057,4.378102877157042
disease,typhoid,52,121057,4.295497162493701
disease,diarrhoea,35,121057,2.891200013216914
disease,smallpox,21,121057,1.7347200079301486
disease,consumption,4,121057,0.33042285865336163
governance,board,286,121057,23.625234393715356
governance,sanitary authority,106,121057,8.756205754314085
governance,medical officer,80,121057,6.608457173067233
governance,inspector,45,121057,3.7172571598503183
governance,summonses,30,121057,2.4781714399002124
governance,inspection,26,121057,2.1477485812468506
governance,notices,21,121057,1.7347200079301486
governance,inspections,13,121057,1.0738742906234253
governance,vestry,3,121057,0.24781714399002122
housing,houses,392,121057,32.38144014802944
housing,dwellings,122,121057,10.077897188927532
housing,rooms,61,121057,5.038948594463766
housing,overcrowding,35,121057,2.891200013216914
housing,lodging house,14,121057,1.1564800052867659
housing,overcrowded,14,121057,1.1564800052867659
housing,common lodging house,13,121057,1.0738742906234253
housing,tenement,3,121057,0.24781714399002122
sanitary,sanitary,312,121057,25.772982974962208
sanitary,refuse,73,121057,6.0302171704238505
sanitary,dirty,61,121057,5.038948594463766
sanitary,nuisance,61,121057,5.038948594463766
sanitary,water supply,60,121057,4.956342879800425
sanitary,drainage,46,121057,3.799862874513659
sanitary,drain,45,121057,3.7172571598503183
sanitary,nuisances,43,121057,3.5520457305236377
sanitary,filth,32,121057,2.643382869226893
sanitary,drains,27,121057,2.230354295910191
sanitary,sewer,6,121057,0.49563428798004244
sanitary,sanitation,4,121057,0.33042285865336163
sanitary,sewers,1,121057,0.08260571466334041
sanitary,sewage,0,121057,0.0
