report_year,category,term,raw_count,narrative_word_count,frequency_per_10000_words
1890,disease,cholera,0,3338,0.0
1890,disease,consumption,0,3338,0.0
1890,disease,diarrhoea,1,3338,2.995805871779509
1890,disease,diphtheria,1,3338,2.995805871779509
1890,disease,fever,0,3338,0.0
1890,disease,influenza,0,3338,0.0
1890,disease,isolation,1,3338,2.995805871779509
1890,disease,measles,1,3338,2.995805871779509
1890,disease,notification,2,3338,5.991611743559018
1890,disease,scarlet fever,1,3338,2.995805871779509
1890,disease,smallpox,2,3338,5.991611743559018
1890,disease,typhoid,0,3338,0.0
1890,disease,typhus,0,3338,0.0
1890,governance,board,3,3338,8.987417615338526
1890,governance,inspection,6,3338,17.97483523067705
1890,governance,inspections,0,3338,0.0
1890,governance,inspector,0,3338,0.0
1890,governance,local government board,1,3338,2.995805871779509
1890,governance,medical officer,7,3338,20.97064110245656
1890,governance,notices,0,3338,0.0
1890,governance,sanitary authority,0,3338,0.0
1890,governance,summonses,0,3338,0.0
1890,governance,vestry,0,3338,0.0
1890,housing,common lodging house,0,3338,0.0
1890,housing,dwellings,4,3338,11.983223487118035
1890,housing,houses,10,3338,29.958058717795087
1890,housing,lodging house,3,3338,8.987417615338526
1890,housing,model dwellings,0,3338,0.0
1890,housing,overcrowded,0,3338,0.0
1890,housing,overcrowding,0,3338,0.0
1890,housing,rooms,5,3338,14.979029358897543
1890,housing,tenement,0,3338,0.0
1890,inequality,destitute,0,3338,0.0
1890,inequality,infirmary,0,3338,0.0
1890,inequality,lodgers,0,3338,0.0
1890,inequality,poor,1,3338,2.995805871779509
1890,inequality,poorer,0,3338,0.0
1890,inequality,poorest,0,3338,0.0
1890,inequality,poverty,0,3338,0.0
1890,inequality,working class,0,3338,0.0
1890,inequality,working classes,5,3338,14.979029358897543
1890,sanitary,dirty,0,3338,0.0
1890,sanitary,drain,7,3338,20.97064110245656
1890,sanitary,drainage,3,3338,8.987417615338526
1890,sanitary,drains,3,3338,8.987417615338526
1890,sanitary,filth,1,3338,2.995805871779509
1890,sanitary,nuisance,1,3338,2.995805871779509
1890,sanitary,nuisances,3,3338,8.987417615338526
1890,sanitary,refuse,0,3338,0.0
1890,sanitary,sanitary,8,3338,23.96644697423607
1890,sanitary,sanitation,1,3338,2.995805871779509
1890,sanitary,sewage,0,3338,0.0
1890,sanitary,sewer,1,3338,2.995805871779509
1890,sanitary,sewers,0,3338,0.0
1890,sanitary,water supply,1,3338,2.995805871779509
1891,disease,cholera,0,5535,0.0
1891,disease,consumption,0,5535,0.0
1891,disease,diarrhoea,0,5535,0.0
1891,disease,diphtheria,0,5535,0.0
1891,disease,fever,0,5535,0.0
1891,disease,influenza,0,5535,0.0
1891,disease,isolation,0,5535,0.0
1891,disease,measles,0,5535,0.0
1891,disease,notification,3,5535,5.420054200542006
1891,disease,scarlet fever,0,5535,0.0
1891,disease,smallpox,0,5535,0.0
1891,disease,typhoid,0,5535,0.0
1891,disease,typhus,0,5535,0.0
1891,governance,board,10,5535,18.066847335140018
1891,governance,inspection,1,5535,1.806684733514002
1891,governance,inspections,0,5535,0.0
1891,governance,inspector,1,5535,1.806684733514002
1891,governance,local government board,1,5535,1.806684733514002
1891,governance,medical officer,4,5535,7.226738934056008
1891,governance,notices,1,5535,1.806684733514002
1891,governance,sanitary authority,50,5535,90.33423667570008
1891,governance,summonses,0,5535,0.0
1891,governance,vestry,0,5535,0.0
1891,housing,common lodging house,1,5535,1.806684733514002
1891,housing,dwellings,0,5535,0.0
1891,housing,houses,4,5535,7.226738934056008
1891,housing,lodging house,0,5535,0.0
1891,housing,model dwellings,0,5535,0.0
1891,housing,overcrowded,0,5535,0.0
1891,housing,overcrowding,4,5535,7.226738934056008
1891,housing,rooms,1,5535,1.806684733514002
1891,housing,tenement,0,5535,0.0
1891,inequality,destitute,0,5535,0.0
1891,inequality,infirmary,1,5535,1.806684733514002
1891,inequality,lodgers,2,5535,3.613369467028004
1891,inequality,poor,1,5535,1.806684733514002
1891,inequality,poorer,0,5535,0.0
1891,inequality,poorest,0,5535,0.0
1891,inequality,poverty,0,5535,0.0
1891,inequality,working class,0,5535,0.0
1891,inequality,working classes,1,5535,1.806684733514002
1891,sanitary,dirty,0,5535,0.0
1891,sanitary,drain,4,5535,7.226738934056008
1891,sanitary,drainage,2,5535,3.613369467028004
1891,sanitary,drains,0,5535,0.0
1891,sanitary,filth,1,5535,1.806684733514002
1891,sanitary,nuisance,14,5535,25.293586269196023
1891,sanitary,nuisances,7,5535,12.646793134598012
1891,sanitary,refuse,13,5535,23.486901535682026
1891,sanitary,sanitary,10,5535,18.066847335140018
1891,sanitary,sanitation,0,5535,0.0
1891,sanitary,sewage,0,5535,0.0
1891,sanitary,sewer,1,5535,1.806684733514002
1891,sanitary,sewers,0,5535,0.0
1891,sanitary,water supply,4,5535,7.226738934056008
1892,disease,cholera,6,4262,14.077897700610043
1892,disease,consumption,0,4262,0.0
1892,disease,diarrhoea,4,4262,9.385265133740027
1892,disease,diphtheria,4,4262,9.385265133740027
1892,disease,fever,1,4262,2.346316283435007
1892,disease,influenza,0,4262,0.0
1892,disease,isolation,0,4262,0.0
1892,disease,measles,0,4262,0.0
1892,disease,notification,0,4262,0.0
1892,disease,scarlet fever,5,4262,11.731581417175034
1892,disease,smallpox,1,4262,2.346316283435007
1892,disease,typhoid,0,4262,0.0
1892,disease,typhus,2,4262,4.692632566870014
1892,governance,board,17,4262,39.88737681839512
1892,governance,inspection,2,4262,4.692632566870014
1892,governance,inspections,0,4262,0.0
1892,governance,inspector,3,4262,7.0389488503050215
1892,governance,local government board,9,4262,21.11684655091506
1892,governance,medical officer,2,4262,4.692632566870014
1892,governance,notices,0,4262,0.0
1892,governance,sanitary authority,3,4262,7.0389488503050215
1892,governance,summonses,0,4262,0.0
1892,governance,vestry,0,4262,0.0
1892,housing,common lodging house,0,4262,0.0
1892,housing,dwellings,0,4262,0.0
1892,housing,houses,12,4262,28.155795401220086
1892,housing,lodging house,3,4262,7.0389488503050215
1892,housing,model dwellings,2,4262,4.692632566870014
1892,housing,overcrowded,0,4262,0.0
1892,housing,overcrowding,1,4262,2.346316283435007
1892,housing,rooms,1,4262,2.346316283435007
1892,housing,tenement,0,4262,0.0
1892,inequality,destitute,1,4262,2.346316283435007
1892,inequality,infirmary,1,4262,2.346316283435007
1892,inequality,lodgers,1,4262,2.346316283435007
1892,inequality,poor,2,4262,4.692632566870014
1892,inequality,poorer,0,4262,0.0
1892,inequality,poorest,1,4262,2.346316283435007
1892,inequality,poverty,0,4262,0.0
1892,inequality,working class,0,4262,0.0
1892,inequality,working classes,1,4262,2.346316283435007
1892,sanitary,dirty,0,4262,0.0
1892,sanitary,drain,0,4262,0.0
1892,sanitary,drainage,2,4262,4.692632566870014
1892,sanitary,drains,1,4262,2.346316283435007
1892,sanitary,filth,0,4262,0.0
1892,sanitary,nuisance,0,4262,0.0
1892,sanitary,nuisances,2,4262,4.692632566870014
1892,sanitary,refuse,1,4262,2.346316283435007
1892,sanitary,sanitary,14,4262,32.8484279680901
1892,sanitary,sanitation,0,4262,0.0
1892,sanitary,sewage,0,4262,0.0
1892,sanitary,sewer,0,4262,0.0
1892,sanitary,sewers,0,4262,0.0
1892,sanitary,water supply,2,4262,4.692632566870014
1893,disease,cholera,2,11969,1.6709833737154316
1893,disease,consumption,0,11969,0.0
1893,disease,diarrhoea,0,11969,0.0
1893,disease,diphtheria,3,11969,2.506475060573147
1893,disease,fever,0,11969,0.0
1893,disease,influenza,1,11969,0.8354916868577158
1893,disease,isolation,0,11969,0.0
1893,disease,measles,0,11969,0.0
1893,disease,notification,0,11969,0.0
1893,disease,scarlet fever,2,11969,1.6709833737154316
1893,disease,smallpox,0,11969,0.0
1893,disease,typhoid,0,11969,0.0
1893,disease,typhus,0,11969,0.0
1893,governance,board,24,11969,20.051800484585176
1893,governance,inspection,7,11969,5.848441808004011
1893,governance,inspections,1,11969,0.8354916868577158
1893,governance,inspector,3,11969,2.506475060573147
1893,governance,local government board,5,11969,4.177458434288579
1893,governance,medical officer,5,11969,4.177458434288579
1893,governance,notices,0,11969,0.0
1893,governance,sanitary authority,36,11969,30.077700726877765
1893,governance,summonses,2,11969,1.6709833737154316
1893,governance,vestry,0,11969,0.0
1893,housing,common lodging house,2,11969,1.6709833737154316
1893,housing,dwellings,0,11969,0.0
1893,housing,houses,16,11969,13.367866989723453
1893,housing,lodging house,24,11969,20.051800484585176
1893,housing,model dwellings,3,11969,2.506475060573147
1893,housing,overcrowded,0,11969,0.0
1893,housing,overcrowding,0,11969,0.0
1893,housing,rooms,6,11969,5.012950121146294
1893,housing,tenement,0,11969,0.0
1893,inequality,destitute,0,11969,0.0
1893,inequality,infirmary,0,11969,0.0
1893,inequality,lodgers,9,11969,7.519425181719441
1893,inequality,poor,1,11969,0.8354916868577158
1893,inequality,poorer,0,11969,0.0
1893,inequality,poorest,0,11969,0.0
1893,inequality,poverty,0,11969,0.0
1893,inequality,working class,0,11969,0.0
1893,inequality,working classes,3,11969,2.506475060573147
1893,sanitary,dirty,0,11969,0.0
1893,sanitary,drain,13,11969,10.861391929150306
1893,sanitary,drainage,7,11969,5.848441808004011
1893,sanitary,drains,1,11969,0.8354916868577158
1893,sanitary,filth,26,11969,21.722783858300613
1893,sanitary,nuisance,6,11969,5.012950121146294
1893,sanitary,nuisances,0,11969,0.0
1893,sanitary,refuse,43,11969,35.92614253488178
1893,sanitary,sanitary,11,11969,9.190408555434875
1893,sanitary,sanitation,0,11969,0.0
