report_id,report_year,place_id,standard_name,place_type,surface_form,start,end
b19883651,1890,P010,Leman Street,street,leman street,404,416
b19883651,1890,P012,Spitalfields,district/place,spitalfields,3173,3185
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,3186,3203
b19883651,1890,P011,Aldgate,district/place,aldgate,3240,3247
b19883651,1890,P012,Spitalfields,district/place,spitalfields,3559,3571
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,3598,3615
b19883651,1890,P011,Aldgate,district/place,aldgate,3815,3822
b19883651,1890,P016,London Hospital,institution,london hospital,5605,5620
b19883651,1890,P011,Aldgate,district/place,aldgate,5674,5681
b19883651,1890,P016,London Hospital,institution,london hospital,5969,5984
b19883651,1890,P012,Spitalfields,district/place,spitalfields,10112,10124
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,10125,10142
b19883651,1890,P011,Aldgate,district/place,aldgate,10179,10186
b19883651,1890,P019,George Yard,street/place,george yard,11397,11408
b19883651,1890,P019,George Yard,street/place,george yard,11482,11493
b19883651,1890,P019,George Yard,street/place,george yard,11739,11750
b19883651,1890,P019,George Yard,street/place,george yard,11799,11810
b19883651,1890,P019,George Yard,street/place,george yard,11870,11881
b19883651,1890,P012,Spitalfields,district/place,spitalfields,12625,12637
b19883651,1890,P003,Brick Lane,street,brick lane,13278,13288
b19883651,1890,P018,Commercial Street,street,commercial street,13354,13371
b19883651,1890,P008,Dorset Street,street,dorset street,13377,13390
b19883651,1890,P007,Flower and Dean Street,street,flower and dean street,13397,13419
b19883651,1890,P019,George Yard,street/place,george yard,13460,13471
b19883651,1890,P009,Hanbury Street,street,hanbury street,13554,13568
b19883651,1890,P010,Leman Street,street,leman street,13610,13622
b19883651,1890,P020,Thrawl Street,street,thrawl street,13777,13790
b19883651,1890,P006,Wentworth Street,street,wentworth street,13858,13874
b19883651,1890,P001,Whitechapel Road,street,whitechapel road,13896,13912
b19883651,1890,P016,London Hospital,institution,london hospital,14336,14351
b19883651,1890,P018,Commercial Street,street,commercial street,35506,35523
b19883651,1890,P001,Whitechapel Road,street,whitechapel road,36668,36684
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,36876,36893
b19883651,1890,P009,Hanbury Street,street,hanbury street,36898,36912
b19883651,1890,P009,Hanbury Street,street,hanbury street,37251,37265
b19883651,1890,P018,Commercial Street,street,commercial street,37282,37299
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,37380,37397
b19883651,1890,P012,Spitalfields,district/place,spitalfields,37685,37697
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,37698,37715
b19883651,1890,P011,Aldgate,district/place,aldgate,37751,37758
b19883651,1890,P012,Spitalfields,district/place,spitalfields,38094,38106
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,38107,38124
b19883651,1890,P011,Aldgate,district/place,aldgate,38161,38168
b19883651,1890,P012,Spitalfields,district/place,spitalfields,38282,38294
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,38295,38312
b19883651,1890,P011,Aldgate,district/place,aldgate,38348,38355
b19883651,1890,P012,Spitalfields,district/place,spitalfields,38640,38652
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,38653,38670
b19883651,1890,P016,London Hospital,institution,london hospital,38712,38727
b19883651,1890,P011,Aldgate,district/place,aldgate,38745,38752
b19883651,1890,P022,Mile End Old Town,district/place,mile end old town,39230,39247
b19883651,1890,P012,Spitalfields,district/place,spitalfields,39823,39835
b19883651,1890,P014,Mile End New Town,district/place,mile end new town,39836,39853
b19883651,1890,P011,Aldgate,district/place,aldgate,39889,39896
b19883651,1890,P019,George Yard,street/place,george yard,50482,50493
b19883651,1890,P011,Aldgate,district/place,aldgate,50966,50973
b19883651,1890,P003,Brick Lane,street,brick lane,51098,51108
b19883651,1890,P009,Hanbury Street,street,hanbury street,51226,51240
b19883651,1890,P010,Leman Street,street,leman street,52118,52130
