report_id,report_year,place_id,standard_name,place_type,surface_form,start,end,blocked_by_place_id,blocked_by_standard_name,blocked_by_surface_form,blocked_by_start,blocked_by_end,exclusion_reason
b19883651,1890,P013,Mile End,district/place,mile end,3186,3194,P014,Mile End New Town,mile end new town,3186,3203,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,3598,3606,P014,Mile End New Town,mile end new town,3598,3615,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,10125,10133,P014,Mile End New Town,mile end new town,10125,10142,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,36876,36884,P014,Mile End New Town,mile end new town,36876,36893,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,37380,37388,P014,Mile End New Town,mile end new town,37380,37397,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,37698,37706,P014,Mile End New Town,mile end new town,37698,37715,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,38107,38115,P014,Mile End New Town,mile end new town,38107,38124,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,38295,38303,P014,Mile End New Town,mile end new town,38295,38312,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,38653,38661,P014,Mile End New Town,mile end new town,38653,38670,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,39230,39238,P022,Mile End Old Town,mile end old town,39230,39247,overlaps_longer_retained_surface_form
b19883651,1890,P013,Mile End,district/place,mile end,39836,39844,P014,Mile End New Town,mile end new town,39836,39853,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,2242,2250,P014,Mile End New Town,mile end new town,2242,2259,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,2977,2985,P014,Mile End New Town,mile end new town,2977,2994,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,4002,4010,P014,Mile End New Town,mile end new town,4002,4019,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,4762,4770,P014,Mile End New Town,mile end new town,4762,4779,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,9195,9203,P014,Mile End New Town,mile end new town,9195,9212,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,12708,12716,P014,Mile End New Town,mile end new town,12708,12725,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,13271,13279,P014,Mile End New Town,mile end new town,13271,13288,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,13894,13902,P014,Mile End New Town,mile end new town,13894,13911,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,14268,14276,P014,Mile End New Town,mile end new town,14268,14285,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,52376,52384,P014,Mile End New Town,mile end new town,52376,52393,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,52879,52887,P014,Mile End New Town,mile end new town,52879,52896,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,53219,53227,P014,Mile End New Town,mile end new town,53219,53236,overlaps_longer_retained_surface_form
b19883663,1891,P013,Mile End,district/place,mile end,53574,53582,P014,Mile End New Town,mile end new town,53574,53591,overlaps_longer_retained_surface_form
