report_id,report_year,place_id,standard_name,matched_variants,category,term,window_words,cooccurrence_count
b19883651,1890,P001,Whitechapel Road,whitechapel road,sanitary,sanitary,50,1
b19883651,1890,P001,Whitechapel Road,whitechapel road,housing,houses,50,4
b19883651,1890,P003,Brick Lane,brick lane,housing,houses,50,2
b19883651,1890,P006,Wentworth Street,wentworth street,housing,houses,50,2
b19883651,1890,P007,Flower and Dean Street,flower and dean street,housing,houses,50,2
b19883651,1890,P008,Dorset Street,dorset street,housing,houses,50,2
b19883651,1890,P009,Hanbury Street,hanbury street,housing,houses,50,2
b19883651,1890,P010,Leman Street,leman street,sanitary,sanitary,50,1
b19883651,1890,P010,Leman Street,leman street,governance,medical officer,50,1
b19883651,1890,P010,Leman Street,leman street,governance,board,50,1
b19883651,1890,P011,Aldgate,aldgate,housing,dwellings,50,2
b19883651,1890,P011,Aldgate,aldgate,governance,board,50,2
b19883651,1890,P012,Spitalfields,spitalfields,sanitary,water supply,50,1
b19883651,1890,P012,Spitalfields,spitalfields,housing,dwellings,50,1
b19883651,1890,P012,Spitalfields,spitalfields,housing,rooms,50,1
b19883651,1890,P012,Spitalfields,spitalfields,governance,board,50,1
b19883651,1890,P014,Mile End New Town,mile end new town,sanitary,sanitary,50,1
b19883651,1890,P014,Mile End New Town,mile end new town,housing,dwellings,50,2
b19883651,1890,P014,Mile End New Town,mile end new town,housing,houses,50,2
b19883651,1890,P014,Mile End New Town,mile end new town,governance,board,50,1
b19883651,1890,P016,London Hospital,london hospital,disease,fever,50,7
b19883651,1890,P016,London Hospital,london hospital,disease,scarlet fever,50,2
b19883651,1890,P016,London Hospital,london hospital,disease,typhus,50,2
b19883651,1890,P016,London Hospital,london hospital,disease,measles,50,3
b19883651,1890,P016,London Hospital,london hospital,disease,diphtheria,50,3
b19883651,1890,P016,London Hospital,london hospital,housing,dwellings,50,1
b19883651,1890,P016,London Hospital,london hospital,housing,houses,50,2
b19883651,1890,P016,London Hospital,london hospital,governance,board,50,3
b19883651,1890,P018,Commercial Street,commercial street,disease,fever,50,9
b19883651,1890,P018,Commercial Street,commercial street,disease,scarlet fever,50,3
b19883651,1890,P018,Commercial Street,commercial street,disease,typhus,50,3
b19883651,1890,P018,Commercial Street,commercial street,disease,measles,50,3
b19883651,1890,P018,Commercial Street,commercial street,disease,diphtheria,50,3
