file_name,report_id,report_year,character_count,word_count,number_of_lines,appears_empty,ocr_noise_present,ocr_noise_notes,term_sanitary,term_fever,term_nuisance,term_overcrowding,term_lodging,term_drainage,term_sewer,term_smallpox,term_cholera
Whitechapel_1890_b19883651_fulltext.txt,b19883651,1890,66285,8047,1,False,True,replacement_chars=227; question_mark_runs=4; non_ascii_ratio=0.0034,13,43,2,1,6,6,2,0,3
Whitechapel_1891_b19883663_fulltext.txt,b19883663,1891,84599,11036,1,False,True,replacement_chars=241; non_ascii_ratio=0.0028,72,45,16,5,5,3,1,0,3
Whitechapel_1892_b19883675_fulltext.txt,b19883675,1892,79413,9635,1,False,True,replacement_chars=298; non_ascii_ratio=0.0038,26,62,1,2,10,3,1,0,13
Whitechapel_1893_b18018348_fulltext.txt,b18018348,1893,180914,23468,1,False,True,replacement_chars=834; non_ascii_ratio=0.0046,70,61,9,3,35,8,1,2,12
Whitechapel_1894_b1801835x_fulltext.txt,b1801835x,1894,92916,10915,1,False,True,replacement_chars=797; non_ascii_ratio=0.0086,34,60,8,4,6,4,0,4,10
Whitechapel_1895_b19883687_fulltext.txt,b19883687,1895,119391,14236,1,False,True,replacement_chars=986; non_ascii_ratio=0.0083,27,76,12,4,21,7,1,3,9
Whitechapel_1896_b18038244_fulltext.txt,b18038244,1896,98894,11482,1,False,True,replacement_chars=505; question_mark_runs=1; non_ascii_ratio=0.0051,23,82,5,3,5,6,0,5,9
Whitechapel_1897_b19883699_fulltext.txt,b19883699,1897,94308,10886,1,False,True,replacement_chars=430; non_ascii_ratio=0.0046,17,65,2,6,7,6,0,2,8
Whitechapel_1898_b19883705_fulltext.txt,b19883705,1898,83273,9000,1,False,True,replacement_chars=842; non_ascii_ratio=0.0101,17,62,4,4,4,1,0,2,8
Whitechapel_1899_b19883717_fulltext.txt,b19883717,1899,101262,12352,1,False,True,replacement_chars=833; non_ascii_ratio=0.0082,13,63,2,3,8,2,0,3,8
