standard_name,term,category,report_year,snippet,likely_table_context,notes
Spitalfields,fever,disease,1891,4 over the age of 80 0 causes of the deaths accidents fractures run over etc 16 burns scalds etc 8 drowning 1 accidental suffocation in bed etc 16 suicide 1 murder 1 other causes 4 page 41 11 outlying public institutions and extra metropolitan asylums deaths total number of deaths 192 males 97 females 95 age distribution of deaths sub district distribution of deaths under the age of 1 year 19 between the ages of 1 and 5 37 spitalfields sub district 57 5 20 17 mile end new town do 20 20 40 41 whitechapel church do 70 40 60 35 goodman's fields do 19 60 80 31 aldgatp do 26 over the age of 80 12 classification of cause of deaths zymotic diseases measles 3 scarlet fever 6 pertussis 1 diphtheria 30 enteric fever 3 diarrhcea 3 constitutional diseases 33 premature birth and old age 11 diseases of nervous system 40 special sense 2 circulatory system 20 respiratory 22 digestive 5 urinary 5 generative 2 locomotive 1 accidents 5 old age deaths age distribution of the deaths sub registration district distribution between the ages of 80 and 85 23 spitalfields sub distri 11 1 85 90 12 mile end new town do 6 above the age of,True,Likely table/statistical context: many_numbers=65; repeated_table_words=9; repeated_columns=age|causes|district|sub; fragmented_or_short=210_tokens
Spitalfields,fever,disease,1892,the total deaths from the disease occurred thus supporting the experience of the previous year thirty three men died to thirty seven women the age mortality was as follows 1 died from influenza between 10 and 20 years of age 9 20 and 40 25 40 and 60 24 60 and 80 11 at over 80 years of age the sub registration districts wherein the patients had previously resided and the number belonging to each i also append in the spitalfields sub registration district 27 mile end new town 11 whitechapel church 23 goodman's fields 9 in concluding this part of my report i wish to mention that one death from typhus fever was registered during the year i have sufficient reason however to state that most probably there was an error in diagnosis in this case it occurred in a model dwelling the patient was an elderly man living by himself in one room he was looked after by his daughter and her husband who occupied an adjoining room the man had not been from home for some weeks and a medical gentleman who saw the case in consultation with the doctor,True,Likely table/statistical context: many_numbers=18; repeated_table_words=5; repeated_columns=age|sub|year
Spitalfields,fever,disease,1892,table of deaths during the year in the metropolitan sanitary district of whitechapel classified according to diseases ages and localities names of localities mortality from all causes at subjoined ages for the 53 weeks of the year 1892 ending 31st december 1 2 3 4 5 6 7 and 9 10 11 12 13 14 15 16 17 18 19 20 21 22 small pox scarlatina diphtheria membranous croup fevers cholera erysipelas measles whooping cough diarrh a and dysentery rheumatic fever ague phthisis bronchitis pneumonia and pleurisy heart disease injuries all other causes total at all ages under 1 year 1 and under 5 5 and under 15 15 and under 25 25 and under 65 65 and upwards typhus enteric or typhoid continued relapsing puerperal spitalfields sub registration district 335 125 51 10 6 101 42 under 5 1 2 1 17 15 10 31 9 86 175 5 upwards 1 2 1 3 1 1 22 45 32 1 51 160 mile end new town sub registration district 678 148 75 11 24 294 126 under 5 2 1 16 11 11 5 4 140 223 5 upwards 2 1 1 4 2 3 99 91 49 9 194 455 whitechapel church sub registration district,True,Likely table/statistical context: many_numbers=94; repeated_columns=causes|district|sub|year; fragmented_or_short=207_tokens
Spitalfields,fever,disease,1892,upwards 7 ii 1 13 14 16 2 66 130 ii table of population births and new casks of infectious sickness coming to the knowledge of the medical officer of health during the year 1892 in the metropolitan sanitary district of whitechapel classified according to diseases ages and localities names of localities and c population at all ages census population 1891 births during 53 weeks of 1892 cases of infectious disease notified cases removed to hospitals ages small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contind fever relapsing fever puerperal fever cholera erysipelas small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contnd fever relapsing fever puerperal fevei cholera erysipelas spitalfields sub registra tion district males fmales under 5 yrs 5 85 37 5 4 5 61 32 2 11468 10988 5 yrs and over 13 4 33 12 4 40 13 81 28 8 1 mile end new town sub registratn district including the infirmary 9433 8475 under 5 vrs 61 24 4 1 1 49 15 1 1 see table page 4 5 yrs and over 30 22 9 1 20 22 18 4 whitechapel church sub registratn district,True,Likely table/statistical context: many_numbers=58; repeated_columns=district|sub; fragmented_or_short=196_tokens
Spitalfields,fever,disease,1892,14 16 2 66 130 ii table of population births and new casks of infectious sickness coming to the knowledge of the medical officer of health during the year 1892 in the metropolitan sanitary district of whitechapel classified according to diseases ages and localities names of localities and c population at all ages census population 1891 births during 53 weeks of 1892 cases of infectious disease notified cases removed to hospitals ages small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contind fever relapsing fever puerperal fever cholera erysipelas small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contnd fever relapsing fever puerperal fevei cholera erysipelas spitalfields sub registra tion district males fmales under 5 yrs 5 85 37 5 4 5 61 32 2 11468 10988 5 yrs and over 13 4 33 12 4 40 13 81 28 8 1 mile end new town sub registratn district including the infirmary 9433 8475 under 5 vrs 61 24 4 1 1 49 15 1 1 see table page 4 5 yrs and over 30 22 9 1 20 22 18 4 whitechapel church sub registratn district,True,Likely table/statistical context: many_numbers=55; repeated_columns=district|sub; fragmented_or_short=191_tokens
Mile End New Town,fever,disease,1891,causes of the deaths accidents fractures run over etc 16 burns scalds etc 8 drowning 1 accidental suffocation in bed etc 16 suicide 1 murder 1 other causes 4 page 41 11 outlying public institutions and extra metropolitan asylums deaths total number of deaths 192 males 97 females 95 age distribution of deaths sub district distribution of deaths under the age of 1 year 19 between the ages of 1 and 5 37 spitalfields sub district 57 5 20 17 mile end new town do 20 20 40 41 whitechapel church do 70 40 60 35 goodman's fields do 19 60 80 31 aldgatp do 26 over the age of 80 12 classification of cause of deaths zymotic diseases measles 3 scarlet fever 6 pertussis 1 diphtheria 30 enteric fever 3 diarrhcea 3 constitutional diseases 33 premature birth and old age 11 diseases of nervous system 40 special sense 2 circulatory system 20 respiratory 22 digestive 5 urinary 5 generative 2 locomotive 1 accidents 5 old age deaths age distribution of the deaths sub registration district distribution between the ages of 80 and 85 23 spitalfields sub distri 11 1 85 90 12 mile end new town do 6 above the age of,True,Likely table/statistical context: many_numbers=62; repeated_table_words=9; repeated_columns=age|causes|district|sub; fragmented_or_short=203_tokens
Mile End New Town,fever,disease,1891,causes of the deaths accidents fractures run over etc 16 burns scalds etc 8 drowning 1 accidental suffocation in bed etc 16 suicide 1 murder 1 other causes 4 page 41 11 outlying public institutions and extra metropolitan asylums deaths total number of deaths 192 males 97 females 95 age distribution of deaths sub district distribution of deaths under the age of 1 year 19 between the ages of 1 and 5 37 spitalfields sub district 57 5 20 17 mile end new town do 20 20 40 41 whitechapel church do 70 40 60 35 goodman's fields do 19 60 80 31 aldgatp do 26 over the age of 80 12 classification of cause of deaths zymotic diseases measles 3 scarlet fever 6 pertussis 1 diphtheria 30 enteric fever 3 diarrhcea 3 constitutional diseases 33 premature birth and old age 11 diseases of nervous system 40 special sense 2 circulatory system 20 respiratory 22 digestive 5 urinary 5 generative 2 locomotive 1 accidents 5 old age deaths age distribution of the deaths sub registration district distribution between the ages of 80 and 85 23 spitalfields sub distri 11 1 85 90 12 mile end new town do 6 above the age of 91 2 whitechapel church do 18 92,True,Likely table/statistical context: many_numbers=66; repeated_table_words=9; repeated_columns=age|causes|district|sub; fragmented_or_short=210_tokens
Mile End New Town,fever,disease,1892,disease occurred thus supporting the experience of the previous year thirty three men died to thirty seven women the age mortality was as follows 1 died from influenza between 10 and 20 years of age 9 20 and 40 25 40 and 60 24 60 and 80 11 at over 80 years of age the sub registration districts wherein the patients had previously resided and the number belonging to each i also append in the spitalfields sub registration district 27 mile end new town 11 whitechapel church 23 goodman's fields 9 in concluding this part of my report i wish to mention that one death from typhus fever was registered during the year i have sufficient reason however to state that most probably there was an error in diagnosis in this case it occurred in a model dwelling the patient was an elderly man living by himself in one room he was looked after by his daughter and her husband who occupied an adjoining room the man had not been from home for some weeks and a medical gentleman who saw the case in consultation with the doctor,True,Likely table/statistical context: many_numbers=18; repeated_columns=age|sub|year
Mile End New Town,fever,disease,1892,knowledge of the medical officer of health during the year 1892 in the metropolitan sanitary district of whitechapel classified according to diseases ages and localities names of localities and c population at all ages census population 1891 births during 53 weeks of 1892 cases of infectious disease notified cases removed to hospitals ages small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contind fever relapsing fever puerperal fever cholera erysipelas small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contnd fever relapsing fever puerperal fevei cholera erysipelas spitalfields sub registra tion district males fmales under 5 yrs 5 85 37 5 4 5 61 32 2 11468 10988 5 yrs and over 13 4 33 12 4 40 13 81 28 8 1 mile end new town sub registratn district including the infirmary 9433 8475 under 5 vrs 61 24 4 1 1 49 15 1 1 see table page 4 5 yrs and over 30 22 9 1 20 22 18 4 whitechapel church sub registratn district including the london hospital 10419 9879 u nder 5 yrs 70 33 5 1 47 2 3 1 5 yrs and over 97 49 1 10 2 34 64 26 7 4 goodman's fields 5 ub,True,Likely table/statistical context: many_numbers=73; repeated_columns=district|sub; fragmented_or_short=208_tokens
Mile End New Town,fever,disease,1892,the medical officer of health during the year 1892 in the metropolitan sanitary district of whitechapel classified according to diseases ages and localities names of localities and c population at all ages census population 1891 births during 53 weeks of 1892 cases of infectious disease notified cases removed to hospitals ages small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contind fever relapsing fever puerperal fever cholera erysipelas small pox scarlet fever diphtheria membranous croup typhus fever enteric fever contnd fever relapsing fever puerperal fevei cholera erysipelas spitalfields sub registra tion district males fmales under 5 yrs 5 85 37 5 4 5 61 32 2 11468 10988 5 yrs and over 13 4 33 12 4 40 13 81 28 8 1 mile end new town sub registratn district including the infirmary 9433 8475 under 5 vrs 61 24 4 1 1 49 15 1 1 see table page 4 5 yrs and over 30 22 9 1 20 22 18 4 whitechapel church sub registratn district including the london hospital 10419 9879 u nder 5 yrs 70 33 5 1 47 2 3 1 5 yrs and over 97 49 1 10 2 34 64 26 7 4 goodman's fields 5 ub,True,Likely table/statistical context: many_numbers=73; repeated_columns=district|sub; fragmented_or_short=206_tokens
