report_year,all_raw_hits,direct_raw_hits,all_per_10000,direct_per_10000
1890,6,6,17.97483523067705,17.97483523067705
1891,5,2,9.033423667570009,3.613369467028004
1892,7,5,16.42421398404505,11.731581417175034
1893,13,4,10.861391929150306,3.341966747430863
1894,8,7,17.115960633290545,14.976465554129225
1895,3,0,5.693680015183147,0.0
1896,3,1,7.120816520294326,2.373605506764776
1897,4,4,9.418412997409936,9.418412997409936
1898,3,3,11.636927851047323,11.636927851047323
1899,5,4,9.358038555118847,7.486430844095079
